# Station Soma
# Location (Grid) 74,696
time,height,momentumX,momentumY
482.479,19.891,0.945358,-0.208544
483.898,19.8905,0.946804,-0.208967
485.317,19.8899,0.948248,-0.20939
486.736,19.8894,0.94969,-0.209812
488.155,19.8889,0.951131,-0.210233
489.574,19.8883,0.952569,-0.210653
490.993,19.8878,0.954006,-0.211072
492.412,19.8872,0.955441,-0.211491
493.831,19.8867,0.956875,-0.211908
495.25,19.8861,0.958307,-0.212325
496.669,19.8856,0.959737,-0.21274
498.088,19.885,0.961166,-0.213155
499.507,19.8845,0.962593,-0.213569
500.926,19.884,0.964018,-0.213982
502.346,19.8834,0.965442,-0.214395
503.765,19.8829,0.966864,-0.214806
505.184,19.8823,0.968284,-0.215216
506.603,19.8818,0.969703,-0.215625
508.022,19.8812,0.97112,-0.216034
509.441,19.8806,0.972536,-0.216442
510.86,19.8801,0.97395,-0.216849
512.279,19.8795,0.975364,-0.217255
513.698,19.879,0.976776,-0.217661
515.117,19.8784,0.978186,-0.218066
516.536,19.8779,0.979596,-0.218471
517.955,19.8773,0.981004,-0.218874
519.374,19.8768,0.98241,-0.219277
520.793,19.8762,0.983815,-0.219679
522.212,19.8756,0.985219,-0.22008
523.631,19.8751,0.986621,-0.22048
525.05,19.8745,0.988022,-0.22088
526.469,19.874,0.989421,-0.221278
527.888,19.8734,0.990819,-0.221676
529.308,19.8728,0.992215,-0.222074
530.727,19.8723,0.99361,-0.22247
532.146,19.8717,0.995003,-0.222866
533.565,19.8711,0.996395,-0.223261
534.984,19.8706,0.997785,-0.223655
536.403,19.87,0.999174,-0.224048
537.822,19.8694,1.00056,-0.22444
539.241,19.8689,1.00195,-0.224832
540.66,19.8683,1.00333,-0.225222
542.079,19.8677,1.00471,-0.225611
543.498,19.8671,1.0061,-0.226
544.917,19.8666,1.00748,-0.226387
546.336,19.866,1.00886,-0.226773
547.755,19.8654,1.01023,-0.22716
549.174,19.8649,1.01161,-0.227545
550.593,19.8643,1.01298,-0.22793
552.012,19.8637,1.01436,-0.228314
553.432,19.8631,1.01573,-0.228697
554.851,19.8626,1.0171,-0.22908
556.27,19.862,1.01846,-0.229462
557.689,19.8614,1.01983,-0.229843
559.108,19.8608,1.0212,-0.230223
560.527,19.8602,1.02256,-0.230603
561.946,19.8597,1.02392,-0.230982
563.365,19.8591,1.02528,-0.23136
564.784,19.8585,1.02664,-0.231737
566.203,19.8579,1.028,-0.232113
567.622,19.8573,1.02935,-0.232489
569.041,19.8568,1.03071,-0.232864
570.46,19.8562,1.03206,-0.233237
571.879,19.8556,1.03341,-0.23361
573.298,19.855,1.03476,-0.233982
574.717,19.8544,1.03611,-0.234353
576.136,19.8538,1.03745,-0.234724
577.555,19.8532,1.0388,-0.235094
578.974,19.8527,1.04014,-0.235464
580.394,19.8521,1.04149,-0.235833
581.813,19.8515,1.04283,-0.236201
583.232,19.8509,1.04417,-0.236568
584.651,19.8503,1.04551,-0.236935
586.07,19.8497,1.04685,-0.237301
587.489,19.8491,1.04818,-0.237667
588.908,19.8485,1.04952,-0.238032
590.327,19.8479,1.05086,-0.238397
591.746,19.8473,1.05219,-0.238761
593.165,19.8467,1.05352,-0.239126
594.584,19.8461,1.05485,-0.239489
596.003,19.8455,1.05618,-0.239853
597.422,19.8449,1.05751,-0.240215
